x,y,phi,vx,vy,w
1.5120230594828867,-2.6577702063218687,-2.6577702063218687,0.2,0.0,0.0
1.5120230594828867,-2.6577702063218687,-2.6577702063218687,0.2,0.0,0.0
1.5120230594828867,-2.6577702063218687,-2.6577702063218687,0.2,0.0,0.0
1.5120230594828867,-2.6577702063218687,-2.6577702063218687,0.2,0.0,0.0
1.5084821703842382,-2.6578038493472103,-2.6578038493472103,0.2,0.0,0.0
1.5084821703842382,-2.6578038493472103,-2.6578038493472103,0.2,0.0,0.0
1.5084821703842382,-2.6578038493472103,-2.6578038493472103,0.2,0.0,0.0
1.504941251640145,-2.6578299203338283,-2.6578299203338283,0.2,0.0,0.0
1.504941251640145,-2.6578299203338283,-2.6578299203338283,0.2,0.0,0.0
1.504941251640145,-2.6578299203338283,-2.6578299203338283,0.2,0.0,0.0
1.5014007317341764,-2.6578794862679507,-2.6578794862679507,0.2,0.0,0.0
1.5014007317341764,-2.6578794862679507,-2.6578794862679507,0.2,0.0,0.0
1.5014007317341764,-2.6578794862679507,-2.6578794862679507,0.2,0.0,0.0
1.4978602509125252,-2.657862872538733,-2.657862872538733,0.2,0.0,0.0
